Description,Road Name,Website,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded
Kentish Town Road o/s Kentish Town Underground Station,Kentish Town Road,https://www.camden.gov.uk/winter-weather,529017.19901877,185152.00004652,-0.140595,51.550518,POINT (-0.140595 51.550518),Approximate Location,09/01/2026 01:55:48 PM
Kidderpore Avenue j/w Kidderpore Gardens,Kidderpore Avenue,https://www.camden.gov.uk/winter-weather,525451.64708078,185756.01714843,-0.191777,51.55675,POINT (-0.191777 51.55675),Approximate Location,09/01/2026 01:55:48 PM
Kingsgate Road j/w Kingsgate Place,Kingsgate Road,https://www.camden.gov.uk/winter-weather,525259.66083304,183948.67449488,-0.195188,51.540549,POINT (-0.195188 51.540549),Approximate Location,09/01/2026 01:55:48 PM
Lady Margaret Road j/w Falkland Road,Lady Margaret Road,https://www.camden.gov.uk/winter-weather,529216.19356845,185302.62693003,-0.137671,51.551826,POINT (-0.137671 51.551826),Approximate Location,09/01/2026 01:55:48 PM
Lancaster Grove o/s Fire Station,Lancaster Grove,https://www.camden.gov.uk/winter-weather,527227.33641976,184553.91124766,-0.166611,51.545549,POINT (-0.166611 51.545549),Approximate Location,09/01/2026 01:55:48 PM
Langland Gardens j/w Frognal Lane,Langland Gardens,https://www.camden.gov.uk/winter-weather,525970.84682338,185462.33121515,-0.184397,51.553995,POINT (-0.184397 51.553995),Approximate Location,09/01/2026 01:55:48 PM
Langland Gardens j/w Linfield Gardens,Langland Gardens,https://www.camden.gov.uk/winter-weather,525965.75137562,185374.74628608,-0.184501,51.553209,POINT (-0.184501 51.553209),Approximate Location,09/01/2026 01:55:48 PM
Lawford Road o/s Health Centre,Lawford Road,https://www.camden.gov.uk/winter-weather,529093.4988142,184715.41501769,-0.139655,51.546577,POINT (-0.139655 51.546577),Approximate Location,09/01/2026 01:55:48 PM
Leather Lane j/w Greville Street,Leather Lane,https://www.camden.gov.uk/winter-weather,531289.74398476,181715.03386786,-0.109118,51.519107,POINT (-0.109118 51.519107),Approximate Location,09/01/2026 01:55:48 PM
Leather Lane j/w Holborn,Leather Lane,https://www.camden.gov.uk/winter-weather,531288.38354968,181601.40639339,-0.10918,51.518087,POINT (-0.10918 51.518087),Approximate Location,09/01/2026 01:55:48 PM
Leather Lane j/w Portpool Lane,Leather Lane,https://www.camden.gov.uk/winter-weather,531221.9283572,182023.38560309,-0.10998,51.521894,POINT (-0.10998 51.521894),Approximate Location,09/01/2026 01:55:48 PM
Lyndhurst Gardens j/w Lyndhurst Road,Lyndhurst Gardens,https://www.camden.gov.uk/winter-weather,526835.05290269,185339.05650217,-0.171983,51.552693,POINT (-0.171983 51.552693),Approximate Location,09/01/2026 01:55:48 PM
Lyndhurst Gardens o/s Hospice,Lyndhurst Gardens,https://www.camden.gov.uk/winter-weather,526892.41379277,185167.41563386,-0.171218,51.551138,POINT (-0.171218 51.551138),Approximate Location,09/01/2026 01:55:48 PM
Maitland Park Road j/w Maitland Park Villas,Maitland Park Road,https://www.camden.gov.uk/winter-weather,527949.10906855,184722.23306604,-0.156147,51.546899,POINT (-0.156147 51.546899),Approximate Location,09/01/2026 01:55:48 PM
Mansfield Road j/w Savernake Rd by bus stop,Mansfield Road,https://www.camden.gov.uk/winter-weather,528206.98159955,185604.72045666,-0.152109,51.554771,POINT (-0.152109 51.554771),Approximate Location,09/01/2026 01:55:48 PM
Maresfield Gardens  j/w Netherhall Gardens,Maresfield Gardens,https://www.camden.gov.uk/winter-weather,526432.25693272,185215.31192369,-0.177834,51.551672,POINT (-0.177834 51.551672),Approximate Location,09/01/2026 01:55:48 PM
Menelik Road j/w Minster Road,Menelik Road,https://www.camden.gov.uk/winter-weather,524694.98133341,185422.14271899,-0.202804,51.553917,POINT (-0.202804 51.553917),Approximate Location,09/01/2026 01:55:48 PM
Merton Lane o/s Hathaway Court,Merton Lane,https://www.camden.gov.uk/winter-weather,527861.18373697,186844.3856062,-0.156643,51.56599,POINT (-0.156643 51.56599),Approximate Location,09/01/2026 01:55:48 PM
Mornington Street j/w Mornington Terrace,Mornington Street,https://www.camden.gov.uk/winter-weather,528889.4005717,183381.62681059,-0.143085,51.534637,POINT (-0.143085 51.534637),Approximate Location,09/01/2026 01:55:48 PM
New End j/w Streathley Place,New End,https://www.camden.gov.uk/winter-weather,526496.43648833,185940.56432235,-0.176648,51.558175,POINT (-0.176648 51.558175),Approximate Location,09/01/2026 01:55:48 PM
New End to side of steps of Christchurch Passage,Christchurch Passage,https://www.camden.gov.uk/winter-weather,526488.90874755,186005.4357531,-0.176733,51.55876,POINT (-0.176733 51.55876),Approximate Location,09/01/2026 01:55:48 PM
North End j/w Wildwood Terrace,North End,https://www.camden.gov.uk/winter-weather,526107.32731979,187105.49086559,-0.18184,51.568731,POINT (-0.18184 51.568731),Approximate Location,09/01/2026 01:55:48 PM
North End Way j/w Sandy Road,North End Way,https://www.camden.gov.uk/winter-weather,526026.94621911,186962.39182727,-0.183051,51.567463,POINT (-0.183051 51.567463),Approximate Location,09/01/2026 01:55:48 PM
Northend Way o/s Inverforth House,Northend Way,https://www.camden.gov.uk/winter-weather,526206.55663014,186642.2734602,-0.180576,51.564546,POINT (-0.180576 51.564546),Approximate Location,09/01/2026 01:55:48 PM
Oriel Place j/w Heath Street,Oriel Place,https://www.camden.gov.uk/winter-weather,526367.12919508,185673.39079997,-0.178608,51.555803,POINT (-0.178608 51.555803),Approximate Location,09/01/2026 01:55:48 PM
Oseney Crescent j/w Busby Place,Oseney Crescent,https://www.camden.gov.uk/winter-weather,529532.49060241,184906.68026858,-0.133257,51.548196,POINT (-0.133257 51.548196),Approximate Location,09/01/2026 01:55:48 PM
Pancras Road o/s St Pancras Station near bus stop at Euston Road end,Pancras Road,https://www.camden.gov.uk/winter-weather,530175.47344731,182956.38853378,-0.12471,51.530521,POINT (-0.12471 51.530521),Approximate Location,09/01/2026 01:55:48 PM
Parkway j/w Albert Street,Parkway,https://www.camden.gov.uk/winter-weather,528767.89310626,183731.53664994,-0.144708,51.537809,POINT (-0.144708 51.537809),Approximate Location,09/01/2026 01:55:48 PM
Parliament Hill j/w Nassington Road,Parliament Hill,https://www.camden.gov.uk/winter-weather,527435.54894775,185790.09739306,-0.163163,51.556612,POINT (-0.163163 51.556612),Approximate Location,09/01/2026 01:55:48 PM
Patshull Road j/w Bartholmew Road,Patshull Road,https://www.camden.gov.uk/winter-weather,529384.54947107,184760.77203438,-0.135443,51.546918,POINT (-0.135443 51.546918),Approximate Location,09/01/2026 01:55:48 PM
Perrin's Lane j/w Hampstead High Steath Street,Perrin's Lane,https://www.camden.gov.uk/winter-weather,526477.82738543,185663.22371027,-0.177016,51.555687,POINT (-0.177016 51.555687),Approximate Location,09/01/2026 01:55:48 PM
Platt's Lane j/w Rosecroft Avenue,Platt's Lane,https://www.camden.gov.uk/winter-weather,525423.473707,186274.36877182,-0.191999,51.561414,POINT (-0.191999 51.561414),Approximate Location,09/01/2026 01:55:48 PM
Platt's Lane j/w West Heath Road,Platt's Lane,https://www.camden.gov.uk/winter-weather,525546.00356002,186404.62148737,-0.190185,51.562558,POINT (-0.190185 51.562558),Approximate Location,09/01/2026 01:55:48 PM
Pond Street o/s Royal Free Hospital,Pond Street,https://www.camden.gov.uk/winter-weather,527212.31391843,185477.22695129,-0.166494,51.55385,POINT (-0.166494 51.55385),Approximate Location,09/01/2026 01:55:48 PM
Primrose Gardens j/w Belsize Grove,Primrose Gardens,https://www.camden.gov.uk/winter-weather,527370.29753419,184836.3004146,-0.164449,51.548055,POINT (-0.164449 51.548055),Approximate Location,09/01/2026 01:55:48 PM
Primrose Hill Road j/w Oppidans Road,Primrose Hill Road,https://www.camden.gov.uk/winter-weather,527596.69042191,184103.21025948,-0.161451,51.541415,POINT (-0.161451 51.541415),Approximate Location,09/01/2026 01:55:48 PM
Prince Arthur Road j/w Fitzjohns Avenue,Prince Arthur Road,https://www.camden.gov.uk/winter-weather,526463.2501174,185519.05497814,-0.177278,51.554394,POINT (-0.177278 51.554394),Approximate Location,09/01/2026 01:55:48 PM
Prince of Wales Road o/s Kentish Town West Station,Prince of Wales Road,https://www.camden.gov.uk/winter-weather,528612.85297731,184693.29135052,-0.146591,51.546488,POINT (-0.146591 51.546488),Approximate Location,09/01/2026 01:55:48 PM
Princess Road o/s School,Princess Road,https://www.camden.gov.uk/winter-weather,528273.32960623,183886.81220278,-0.151778,51.539317,POINT (-0.151778 51.539317),Approximate Location,09/01/2026 01:55:48 PM
Purchese Street j/w Chenies Place,Purchese Street,https://www.camden.gov.uk/winter-weather,529758.69385371,183295.23154098,-0.13059,51.533662,POINT (-0.13059 51.533662),Approximate Location,09/01/2026 01:55:48 PM
Queen's Crescent o/s Library j/w Weedington Road,Queen's Crescent,https://www.camden.gov.uk/winter-weather,528295.93756377,185121.3888089,-0.151003,51.550407,POINT (-0.151003 51.550407),Approximate Location,09/01/2026 01:55:48 PM
Ravenshaw Street j/w Dornfell Street,Ravenshaw Street,https://www.camden.gov.uk/winter-weather,524839.83056684,185116.78012812,-0.200824,51.55114,POINT (-0.200824 51.55114),Approximate Location,09/01/2026 01:55:48 PM
Reddington Road j/w Templewood Avenue,Redington Road,https://www.camden.gov.uk/winter-weather,525667.64294645,185996.53829996,-0.188577,51.558863,POINT (-0.188577 51.558863),Approximate Location,09/01/2026 01:55:48 PM
Redhill Street o/s School,Redhill Street,https://www.camden.gov.uk/winter-weather,528833.68044878,182982.0711822,-0.144034,51.531059,POINT (-0.144034 51.531059),Approximate Location,09/01/2026 01:55:48 PM
Regents Park Road j/w St Georges Terrace,Regents Park Road,https://www.camden.gov.uk/winter-weather,527861.0930413,184003.81871001,-0.157677,51.540462,POINT (-0.157677 51.540462),Approximate Location,09/01/2026 01:55:48 PM
Robert Street j/w Stanhope Street,Robert Street,https://www.camden.gov.uk/winter-weather,529061.7470839,182719.94621469,-0.140844,51.528651,POINT (-0.140844 51.528651),Approximate Location,09/01/2026 01:55:48 PM
Royal College Street j/w Georgina Street,Royal College Street,https://www.camden.gov.uk/winter-weather,529321.46650858,183984.60421011,-0.136637,51.539957,POINT (-0.136637 51.539957),Approximate Location,09/01/2026 01:55:48 PM
Savernake Road by footbridge by entrance to heath,Savernake Road,https://www.camden.gov.uk/winter-weather,527768.69064154,185696.93406079,-0.158394,51.555699,POINT (-0.158394 51.555699),Approximate Location,09/01/2026 01:55:48 PM
South Grove by Bus Terminus,South Grove,https://www.camden.gov.uk/winter-weather,528442.66667112,187379.91231327,-0.148063,51.570671,POINT (-0.148063 51.570671),Approximate Location,09/01/2026 01:55:48 PM
South Grove j/w Bacons Lane,South Grove,https://www.camden.gov.uk/winter-weather,528306.41703643,187294.30681759,-0.150059,51.569932,POINT (-0.150059 51.569932),Approximate Location,09/01/2026 01:55:48 PM
South Hill Park Gardens j/w South Hill Park,South Hill Park Gardens,https://www.camden.gov.uk/winter-weather,527371.74866495,185886.39982677,-0.164048,51.557492,POINT (-0.164048 51.557492),Approximate Location,09/01/2026 01:55:48 PM
South Hill Park in alleyway leading to pond adjacent to 94 South Hill Park,South Hill Park,https://www.camden.gov.uk/winter-weather,527364.9959599,186006.98530954,-0.164101,51.558577,POINT (-0.164101 51.558577),Approximate Location,09/01/2026 01:55:48 PM
Southampton Road o/s St Dominics Church,Southampton Road,https://www.camden.gov.uk/winter-weather,527895.18636895,185153.6095858,-0.156768,51.550788,POINT (-0.156768 51.550788),Approximate Location,09/01/2026 01:55:48 PM
Spaniard's Road by 1st bus stop northbound at pond end,Spaniard's Road,https://www.camden.gov.uk/winter-weather,526312.71179182,186520.11842671,-0.179089,51.563425,POINT (-0.179089 51.563425),Approximate Location,09/01/2026 01:55:48 PM
Spencer Rise j/w Datmouth Park Hill,Spencer Rise,https://www.camden.gov.uk/winter-weather,529041.3982731,186068.58767605,-0.13991,51.55875,POINT (-0.13991 51.55875),Approximate Location,09/01/2026 01:55:48 PM
Spencer Rise j/w York Rise,Spencer Rise,https://www.camden.gov.uk/winter-weather,528844.70409547,185964.3775059,-0.142784,51.557858,POINT (-0.142784 51.557858),Approximate Location,09/01/2026 01:55:48 PM
St Pancras Way by railway bridge,St Pancras Way,https://www.camden.gov.uk/winter-weather,529401.5837673,184144.85833784,-0.135424,51.541379,POINT (-0.135424 51.541379),Approximate Location,09/01/2026 01:55:48 PM
Strathray Gardens j/w Eton Avenue,Strathray Gardens,https://www.camden.gov.uk/winter-weather,527035.81189544,184457.58881967,-0.169407,51.544727,POINT (-0.169407 51.544727),Approximate Location,09/01/2026 01:55:48 PM
Streatley Place by steps o/s 1 to 4 Streatley Flats,Streatley Place,https://www.camden.gov.uk/winter-weather,526423.1461402,185880.32156666,-0.177726,51.55765,POINT (-0.177726 51.55765),Approximate Location,09/01/2026 01:55:48 PM
Sumatra Road j/w Mill Lane,Sumatra Road,https://www.camden.gov.uk/winter-weather,525015.25248682,185171.11457505,-0.198276,51.55159,POINT (-0.198276 51.55159),Approximate Location,09/01/2026 01:55:48 PM
Swain's Lane j/w Bisham Gardens,Swain's Lane,https://www.camden.gov.uk/winter-weather,528439.37689174,187268.00434659,-0.148151,51.569666,POINT (-0.148151 51.569666),Approximate Location,09/01/2026 01:55:48 PM
Swain's Lane j/w Chester Road,Swain's Lane,https://www.camden.gov.uk/winter-weather,528568.01633504,186574.0529881,-0.14655,51.5634,POINT (-0.14655 51.5634),Approximate Location,09/01/2026 01:55:48 PM
Swain's Lane opposite Bottle Bank midway up,Swain's Lane,https://www.camden.gov.uk/winter-weather,528546.20814843,186610.392586,-0.146851,51.563732,POINT (-0.146851 51.563732),Approximate Location,09/01/2026 01:55:48 PM
Talacre Road j/w Rhyl Street,Talacre Road,https://www.camden.gov.uk/winter-weather,528403.95610925,184851.37609923,-0.149544,51.547956,POINT (-0.149544 51.547956),Approximate Location,09/01/2026 01:55:48 PM
The Mount Square o/s No 4,The Mount Square,https://www.camden.gov.uk/winter-weather,526348.70972858,185911.71258107,-0.178788,51.557949,POINT (-0.178788 51.557949),Approximate Location,09/01/2026 01:55:48 PM
Twisden Road j/w Chetwynd Road,Twisden Road,https://www.camden.gov.uk/winter-weather,528674.9382874,185890.56863347,-0.145258,51.557234,POINT (-0.145258 51.557234),Approximate Location,09/01/2026 01:55:48 PM
Upper Terrace o/s No 4,Upper Terrace,https://www.camden.gov.uk/winter-weather,526134.67618746,186126.81100979,-0.181797,51.55993,POINT (-0.181797 51.55993),Approximate Location,09/01/2026 01:55:48 PM
Vale of Health opposite no.12 Heath Villas,Vale of Health,https://www.camden.gov.uk/winter-weather,526497.12907346,186435.75257619,-0.17646,51.562625,POINT (-0.17646 51.562625),Approximate Location,09/01/2026 01:55:48 PM
Wedderburn Road j/w Lyndhurst Gardens,Wedderburn Road,https://www.camden.gov.uk/winter-weather,526875.31353605,185208.88376373,-0.171449,51.551515,POINT (-0.171449 51.551515),Approximate Location,09/01/2026 01:55:48 PM
West End Lane j/w Kilburn High Road,West End Lane,https://www.camden.gov.uk/winter-weather,525382.86678108,183697.27645682,-0.193502,51.538263,POINT (-0.193502 51.538263),Approximate Location,09/01/2026 01:55:48 PM
West End Lane j/w Maygrove Road,West End Lane,https://www.camden.gov.uk/winter-weather,525497.7864427,184770.56922996,-0.191463,51.547883,POINT (-0.191463 51.547883),Approximate Location,09/01/2026 01:55:48 PM
West End Lane j/w Quex Road,West End Lane,https://www.camden.gov.uk/winter-weather,525473.96646118,184026.17231136,-0.192072,51.541198,POINT (-0.192072 51.541198),Approximate Location,09/01/2026 01:55:48 PM
West End Lane j/w Sheriff Road,West End Lane,https://www.camden.gov.uk/winter-weather,525501.67811154,184563.18859205,-0.191481,51.546018,POINT (-0.191481 51.546018),Approximate Location,09/01/2026 01:55:48 PM
West End Lane o/s Fire Station,West End Lane,https://www.camden.gov.uk/winter-weather,525414.0001318,185193.96803331,-0.19252,51.551707,POINT (-0.19252 51.551707),Approximate Location,09/01/2026 01:55:48 PM
West Heath Road j/w Reddington Road,West Heath Road,https://www.camden.gov.uk/winter-weather,525751.6106487,186373.35043861,-0.187232,51.562231,POINT (-0.187232 51.562231),Approximate Location,09/01/2026 01:55:48 PM
Westbere Road j/w Menelik Road,Westbere Road,https://www.camden.gov.uk/winter-weather,524360.99864339,185472.99816177,-0.207601,51.554447,POINT (-0.207601 51.554447),Approximate Location,09/01/2026 01:55:48 PM
Whitestone Walk Far side of pond,Whitestone Walk,https://www.camden.gov.uk/winter-weather,526255.59000851,186374.96997502,-0.179964,51.562133,POINT (-0.179964 51.562133),Approximate Location,09/01/2026 01:55:48 PM
Willoughby Road/j/w Rudall Crescent,j/w Rudall Crescent,https://www.camden.gov.uk/winter-weather,526713.79278908,185767.29392049,-0.173577,51.556569,POINT (-0.173577 51.556569),Approximate Location,09/01/2026 01:55:48 PM
Willow Road j/w Gayton Crescent,Willow Road,https://www.camden.gov.uk/winter-weather,526682.37086122,185881.18132056,-0.173989,51.5576,POINT (-0.173989 51.5576),Approximate Location,09/01/2026 01:55:48 PM
Willow Road on Island j/w Well Road & Flask Walk,Willow Road,https://www.camden.gov.uk/winter-weather,526635.70381539,185905.18444973,-0.174653,51.557826,POINT (-0.174653 51.557826),Approximate Location,09/01/2026 01:55:48 PM
York Way j/w Camden Mews,York Way,https://www.camden.gov.uk/winter-weather,529860.38019227,184940.18067919,-0.128519,51.548421,POINT (-0.128519 51.548421),Approximate Location,09/01/2026 01:55:48 PM
North End outside no.29 at entrance to Heath,North End no.29,https://www.camden.gov.uk/winter-weather,526203.24211558,187011.44778515,-0.180491,51.567865,POINT (-0.180491 51.567865),Approximate Location,09/01/2026 01:55:48 PM
Camden Street j/w Kentish Town Road and Jeffrey’s Street,Camden Street,https://www.camden.gov.uk/winter-weather,528963.46595557,184295.71515553,-0.141683,51.542835,POINT (-0.141683 51.542835),Approximate Location,09/01/2026 01:55:48 PM
Well Walk junction with Christchurch Hill,Well Walk,https://www.camden.gov.uk/winter-weather,526681.00218108,185992.99931299,-0.173968,51.558605,POINT (-0.173968 51.558605),Approximate Location,09/01/2026 01:55:48 PM
Well Walk Junction with East Heath Road,Well Walk,https://www.camden.gov.uk/winter-weather,526777.99707987,186157.0023676,-0.172511,51.560057,POINT (-0.172511 51.560057),Approximate Location,09/01/2026 01:55:48 PM
Well Walk at entrance of Gainsborough Gardens,Well Walk,https://www.camden.gov.uk/winter-weather,526714.996568,186058.00070653,-0.173455,51.559181,POINT (-0.173455 51.559181),Approximate Location,09/01/2026 01:55:48 PM
Heathside close to entrance of Gainsborough Gardens,Heathside,https://www.camden.gov.uk/winter-weather,526879.99673075,185974.00475013,-0.171106,51.55839,POINT (-0.171106 51.55839),Approximate Location,09/01/2026 01:55:48 PM
Vale of Health,Vale of Health,https://www.camden.gov.uk/winter-weather,526515,186478,-0.176187,51.563001,POINT (-0.176187 51.563001),Approximate Location,09/01/2026 01:55:48 PM
Vale of Health,Vale of Health,https://www.camden.gov.uk/winter-weather,526480,186518,-0.176677,51.563368,POINT (-0.176677 51.563368),Approximate Location,09/01/2026 01:55:48 PM
